#id;function;operator;granularity
1;1;1;1
3;1;1;1
6;1;1;1
7;1;1;1
15;1;1;1
16;1;1;1
17;1;1;1
18;1;1;1
64;1;1;1
66;1;1;1
67;1;1;1
68;1;1;1
70;1;1;1
73;1;1;1
74;1;1;1
84;1;1;1
92;1;1;1
98;1;1;1
101;1;1;1
104;1;1;1
106;1;1;1
109;1;1;1
111;1;1;1
114;1;1;1
117;1;1;1
120;1;1;1
139;1;1;1
203;1;1;1
205;1;1;1
207;1;1;1
1326;1;1;1
1368;1;1;1
1399;1;1;1
1422;1;1;1
1434;1;1;1
1437;1;1;1
1438;1;1;1
2096;1;1;1
2270;1;1;1
2414;1;1;1
3002;1;1;1
3003;1;1;1
3016;1;1;1
3019;1;1;1
3020;1;1;1
3032;1;1;1
3033;1;1;1
3046;1;1;1
3049;1;1;1
3050;1;1;1
3062;1;1;1
3063;1;1;1
3076;1;1;1
3080;1;1;1
3092;1;1;1
3093;1;1;1
3106;1;1;1
3109;1;1;1
3110;1;1;1
3118;1;1;1
3119;1;1;1
3132;1;1;1
3136;1;1;1
5969;1;1;1
6175;1;1;1
6992;1;1;3
8007;1;1;1
8009;1;1;1
8014;1;1;1
8017;1;1;1
8020;1;1;1
8024;1;1;1
8028;1;1;1
8093;1;1;1
8099;1;1;1
8101;1;1;1
8105;1;1;1
8107;1;1;1
8110;1;1;1
8112;1;1;1
8113;1;1;1
8114;1;1;1
8118;1;1;1
8119;1;1;1
8120;1;1;1
8121;1;1;1
8124;1;1;1
8125;1;1;1
8128;1;1;1
8129;1;1;1
8141;1;1;1
8143;1;1;1
8147;1;1;1
8148;1;1;1
8153;1;1;1
8154;1;1;1
8158;1;1;1
8164;1;1;1
8177;1;1;1
8180;1;1;1
8181;1;1;1
8192;1;1;1
8196;1;1;1
8207;1;1;1
8210;1;1;1
8223;1;1;1
8380;1;1;1
8382;1;1;1
8383;1;1;1
8384;1;1;1
8385;1;1;1
8386;1;1;1
8394;1;1;1
8521;1;1;1
8522;1;1;1
8545;1;1;1
8546;1;1;1
8573;1;1;1
8574;1;1;1
8576;1;1;1
8581;1;1;1
8618;1;1;1
9035;1;1;1
9040;1;1;1
9041;1;1;1
9042;1;1;1
9043;1;1;1
9044;1;1;1
9079;1;1;1
9082;1;1;1
9083;1;1;1
9084;1;1;1
9087;1;1;1
9842;1;1;2
11099;1;1;1
11165;1;1;1
11988;1;1;1
14021;1;1;1
14024;1;1;1
14129;1;1;1
14170;1;1;1
14178;1;1;1
14205;1;1;1
14227;1;1;1
14252;1;1;1
14279;1;1;1
14301;1;1;1
14304;1;1;1
14307;1;1;1
14310;1;1;1
14313;1;1;1
14364;1;1;1
14497;1;1;1
14565;1;1;1
14624;1;1;1
14758;1;1;1
14759;1;1;1
14760;1;1;1
30523;1;1;10
30527;1;1;10
30528;1;1;10
30530;1;1;10
